####################################################################################
####################################################################################
####################################################################################
###                                                                              ###
###                                                                              ###
###  LIBRARY OF TRIANGULATIONS                                                   ###
###  by Bruno Benedetti and Frank H. Lutz                                        ###
###  http://page.math.tu-berlin.de/~lutz/stellar/library_of_triangulations.html  ###
###                                                                              ###
###                                                                              ###
###  name of example:                                                            ###
###                                                                              ###
###    CP2                                                                       ###
###                                                                              ###
###                                                                              ###
###  description:                                                                ###
###                                                                              ###
###    unique vertex-minimal 9-vertex triangulation                              ###
###    of the complex projective plane CP^2                                      ###
###                                                                              ###
###                                                                              ###
###  properties:                                                                 ###
###                                                                              ###
###    f=(9,36,84,90,36),                                                        ###
###    H_*=(Z,0,Z,0,Z),                                                          ###
###    vertex-transitive, vertex-minimal,                                        ###
###    perfect discrete Morse vector: (1,0,1,0,1)                                ###
###                                                                              ###
###                                                                              ###
###  references:                                                                 ###
###                                                                              ###
###    W. K�hnel and T. F. Banchoff.                                             ###
###    The 9-vertex complex projective plane.                                    ###
###    Math. Intell. 5, No. 3, 11-22 (1983).                                     ###
###                                                                              ###
###    B. Benedetti and F. H. Lutz.                                              ###
###    Random discrete Morse theory and a new library of triangulations.         ###
###    Exp. Math. 23, 66-94 (2014).                                              ###
###                                                                              ###
###                                                                              ###
####################################################################################
####################################################################################
####################################################################################

1 2 3 4 5
1 2 3 4 7
1 2 3 5 8
1 2 3 7 8
1 2 4 5 6
1 2 4 6 7
1 2 5 6 8
1 2 6 7 9
1 2 6 8 9
1 2 7 8 9
1 3 4 5 9
1 3 4 7 8
1 3 4 8 9
1 3 5 6 8
1 3 5 6 9
1 3 6 8 9
1 4 5 6 7
1 4 5 7 9
1 4 7 8 9
1 5 6 7 9
2 3 4 5 9
2 3 4 6 7
2 3 4 6 9
2 3 5 7 8
2 3 5 7 9
2 3 6 7 9
2 4 5 6 8
2 4 5 8 9
2 4 6 8 9
2 5 7 8 9
3 4 6 7 8
3 4 6 8 9
3 5 6 7 8
3 5 6 7 9
4 5 6 7 8
4 5 7 8 9

