####################################################################################
####################################################################################
####################################################################################
###                                                                              ###
###                                                                              ###
###  LIBRARY OF TRIANGULATIONS                                                   ###
###  by Bruno Benedetti and Frank H. Lutz                                        ###
###  http://page.math.tu-berlin.de/~lutz/stellar/library_of_triangulations.html  ###
###                                                                              ###
###                                                                              ###
###  name of example:                                                            ###
###                                                                              ###
###    S_3_1000_2990                                                             ###
###                                                                              ###
###                                                                              ###
###  description:                                                                ###
###                                                                              ###
###    boundary 3-sphere of a stacked 4-polytope with 1000 vertices              ###
###                                                                              ###
###                                                                              ###
###  properties:                                                                 ###
###                                                                              ###
###    f=(1000,3990,5980,2990),                                                  ###
###    H_*=(Z,0,0,Z),                                                            ###
###    polytopal,                                                                ###
###    perfect discrete Morse vector: (1,0,0,1)                                  ###
###                                                                              ###
###                                                                              ###
###  references:                                                                 ###
###                                                                              ###
###    Folklore.                                                                 ###
###                                                                              ###
###    B. Benedetti and F. H. Lutz.                                              ###
###    Random discrete Morse theory and a new library of triangulations.         ###
###    Exp. Math. 23, 66-94 (2014).                                              ###
###                                                                              ###
###                                                                              ###
####################################################################################
####################################################################################
####################################################################################

1 2 3 4
1 2 3 151
1 2 4 5
1 2 5 898
1 2 10 17
1 2 10 859
1 2 15 62
1 2 15 93
1 2 17 39
1 2 39 255
1 2 62 153
1 2 93 985
1 2 113 255
1 2 113 985
1 2 151 859
1 2 153 898
1 3 4 756
1 3 5 10
1 3 5 691
1 3 10 151
1 3 691 767
1 3 756 767
1 4 5 691
1 4 691 756
1 5 10 15
1 5 15 975
1 5 62 975
1 5 62 983
1 5 153 898
1 5 153 983
1 10 15 851
1 10 17 174
1 10 117 640
1 10 117 851
1 10 151 859
1 10 174 358
1 10 358 640
1 15 17 39
1 15 17 837
1 15 39 124
1 15 62 975
1 15 93 808
1 15 117 415
1 15 117 851
1 15 124 734
1 15 315 415
1 15 315 837
1 15 734 808
1 17 117 174
1 17 117 619
1 17 315 619
1 17 315 837
1 39 93 113
1 39 93 765
1 39 113 501
1 39 124 212
1 39 212 939
1 39 255 628
1 39 501 628
1 39 765 939
1 62 153 983
1 93 113 985
1 93 124 849
1 93 124 886
1 93 212 765
1 93 212 849
1 93 734 808
1 93 734 886
1 113 255 501
1 117 174 557
1 117 315 584
1 117 315 619
1 117 358 640
1 117 358 933
1 117 415 584
1 117 557 933
1 124 212 849
1 124 734 886
1 174 358 557
1 212 765 939
1 255 501 628
1 315 415 584
1 358 557 933
1 691 756 767
2 3 4 9
2 3 5 67
2 3 5 662
2 3 6 9
2 3 6 228
2 3 10 290
2 3 10 662
2 3 11 149
2 3 11 495
2 3 64 149
2 3 64 228
2 3 67 495
2 3 151 789
2 3 290 789
2 4 5 45
2 4 6 202
2 4 6 213
2 4 7 293
2 4 7 466
2 4 8 110
2 4 8 681
2 4 9 43
2 4 16 466
2 4 16 949
2 4 18 337
2 4 18 692
2 4 19 299
2 4 19 397
2 4 23 45
2 4 23 189
2 4 28 107
2 4 28 833
2 4 43 92
2 4 92 148
2 4 107 451
2 4 110 949
2 4 148 202
2 4 189 681
2 4 213 708
2 4 293 397
2 4 299 833
2 4 337 513
2 4 373 399
2 4 373 554
2 4 379 456
2 4 379 554
2 4 399 513
2 4 451 456
2 4 692 708
2 5 6 34
2 5 6 80
2 5 7 128
2 5 7 980
2 5 8 23
2 5 8 542
2 5 10 160
2 5 10 662
2 5 11 52
2 5 11 172
2 5 14 169
2 5 14 703
2 5 15 62
2 5 15 160
2 5 23 45
2 5 26 49
2 5 26 796
2 5 33 49
2 5 33 332
2 5 34 321
2 5 38 56
2 5 38 528
2 5 52 871
2 5 56 980
2 5 62 420
2 5 67 172
2 5 74 169
2 5 74 171
2 5 76 80
2 5 76 128
2 5 79 154
2 5 79 171
2 5 153 721
2 5 153 898
2 5 154 835
2 5 157 167
2 5 157 703
2 5 167 676
2 5 233 676
2 5 233 928
2 5 321 796
2 5 332 592
2 5 420 721
2 5 528 928
2 5 542 835
2 5 592 871
2 6 7 270
2 6 7 526
2 6 9 43
2 6 11 30
2 6 11 758
2 6 18 213
2 6 18 657
2 6 26 30
2 6 26 84
2 6 34 84
2 6 43 92
2 6 64 228
2 6 64 758
2 6 66 270
2 6 66 657
2 6 76 80
2 6 76 526
2 6 92 156
2 6 148 156
2 6 148 820
2 6 202 820
2 7 8 14
2 7 8 16
2 7 14 620
2 7 16 466
2 7 18 66
2 7 18 880
2 7 19 353
2 7 19 880
2 7 38 56
2 7 38 89
2 7 56 980
2 7 66 510
2 7 76 336
2 7 76 526
2 7 89 130
2 7 128 336
2 7 130 909
2 7 270 510
2 7 293 353
2 7 620 909
2 8 14 943
2 8 16 110
2 8 23 189
2 8 74 210
2 8 74 345
2 8 79 345
2 8 79 992
2 8 150 875
2 8 150 943
2 8 154 800
2 8 154 992
2 8 189 681
2 8 194 678
2 8 194 960
2 8 210 678
2 8 542 800
2 8 875 960
2 10 15 17
2 10 15 541
2 10 151 581
2 10 151 859
2 10 160 541
2 10 290 742
2 10 581 694
2 10 694 784
2 10 742 784
2 11 26 30
2 11 26 853
2 11 33 192
2 11 33 853
2 11 52 253
2 11 64 149
2 11 64 758
2 11 67 495
2 11 67 550
2 11 172 378
2 11 192 479
2 11 253 479
2 11 378 550
2 14 38 89
2 14 38 482
2 14 74 169
2 14 74 904
2 14 89 303
2 14 130 319
2 14 130 620
2 14 150 904
2 14 150 943
2 14 157 207
2 14 157 703
2 14 161 207
2 14 161 385
2 14 223 316
2 14 223 813
2 14 257 303
2 14 257 813
2 14 316 319
2 14 385 482
2 15 17 39
2 15 39 728
2 15 93 728
2 15 160 541
2 16 110 949
2 18 19 879
2 18 19 880
2 18 28 131
2 18 28 879
2 18 66 657
2 18 107 347
2 18 107 497
2 18 131 551
2 18 213 844
2 18 273 309
2 18 273 551
2 18 309 475
2 18 337 497
2 18 347 475
2 18 692 844
2 19 28 879
2 19 28 940
2 19 293 353
2 19 293 397
2 19 299 494
2 19 494 940
2 26 33 393
2 26 33 853
2 26 34 805
2 26 34 965
2 26 49 226
2 26 84 100
2 26 100 134
2 26 134 805
2 26 226 393
2 26 321 564
2 26 321 796
2 26 364 623
2 26 364 965
2 26 564 623
2 28 107 938
2 28 131 938
2 28 299 516
2 28 299 833
2 28 494 516
2 28 494 940
2 33 49 226
2 33 52 192
2 33 52 332
2 33 226 393
2 34 84 100
2 34 100 913
2 34 134 805
2 34 134 913
2 34 321 364
2 34 364 965
2 38 157 164
2 38 157 167
2 38 161 164
2 38 161 385
2 38 167 233
2 38 233 528
2 38 385 482
2 39 93 375
2 39 93 728
2 39 113 255
2 39 113 375
2 52 192 253
2 52 332 592
2 52 592 871
2 62 153 420
2 66 270 510
2 67 172 378
2 67 378 550
2 74 79 171
2 74 79 345
2 74 150 194
2 74 150 904
2 74 194 372
2 74 210 372
2 76 128 336
2 79 154 992
2 89 130 223
2 89 223 257
2 89 257 977
2 89 303 843
2 89 843 977
2 92 148 232
2 92 156 232
2 93 113 508
2 93 113 985
2 93 375 533
2 93 508 533
2 100 134 913
2 107 131 507
2 107 131 938
2 107 273 507
2 107 273 850
2 107 309 347
2 107 309 850
2 107 337 373
2 107 337 982
2 107 373 379
2 107 379 901
2 107 451 901
2 107 497 982
2 113 375 521
2 113 508 521
2 130 223 316
2 130 316 330
2 130 319 330
2 130 620 909
2 131 273 507
2 131 273 699
2 131 551 699
2 148 156 537
2 148 202 820
2 148 232 537
2 150 194 875
2 151 290 581
2 151 290 789
2 153 420 721
2 154 542 800
2 154 542 835
2 156 232 537
2 157 161 197
2 157 161 506
2 157 164 601
2 157 197 601
2 157 207 535
2 157 506 535
2 161 164 197
2 161 207 613
2 161 506 613
2 164 197 684
2 164 601 684
2 167 233 676
2 192 253 479
2 194 210 372
2 194 210 678
2 194 875 960
2 197 601 684
2 207 506 535
2 207 506 613
2 213 692 708
2 213 692 844
2 223 257 813
2 233 528 928
2 257 303 843
2 257 843 977
2 273 309 850
2 273 551 699
2 290 581 694
2 290 694 742
2 299 494 516
2 309 347 997
2 309 475 997
2 316 319 794
2 316 330 794
2 319 330 794
2 321 364 564
2 337 373 399
2 337 399 513
2 337 497 982
2 347 475 997
2 364 564 623
2 373 379 554
2 375 508 521
2 375 508 533
2 379 451 456
2 379 451 901
2 694 742 784
3 4 5 6
3 4 5 816
3 4 6 9
3 4 691 706
3 4 691 756
3 4 706 816
3 5 6 246
3 5 10 662
3 5 11 57
3 5 11 138
3 5 57 118
3 5 67 82
3 5 75 118
3 5 75 200
3 5 82 138
3 5 200 246
3 5 691 706
3 5 706 816
3 6 11 98
3 6 11 341
3 6 57 75
3 6 57 341
3 6 64 228
3 6 64 779
3 6 75 698
3 6 98 779
3 6 200 246
3 6 200 276
3 6 276 698
3 10 151 552
3 10 290 552
3 11 57 468
3 11 64 149
3 11 64 987
3 11 67 82
3 11 67 565
3 11 82 146
3 11 98 987
3 11 138 386
3 11 146 282
3 11 282 386
3 11 341 468
3 11 495 565
3 57 75 118
3 57 341 468
3 64 98 779
3 64 98 987
3 67 495 565
3 75 200 276
3 75 276 698
3 82 138 647
3 82 146 647
3 138 146 282
3 138 146 876
3 138 282 485
3 138 386 485
3 138 647 876
3 146 647 876
3 151 290 552
3 151 290 789
3 282 386 485
3 691 756 767
4 5 6 504
4 5 7 8
4 5 7 936
4 5 8 814
4 5 12 27
4 5 12 701
4 5 23 471
4 5 23 958
4 5 27 46
4 5 45 471
4 5 46 534
4 5 55 143
4 5 55 534
4 5 115 701
4 5 115 899
4 5 132 826
4 5 132 964
4 5 143 504
4 5 605 826
4 5 605 899
4 5 691 706
4 5 706 816
4 5 814 958
4 5 936 964
4 6 7 18
4 6 7 77
4 6 9 43
4 6 12 22
4 6 12 27
4 6 13 284
4 6 13 546
4 6 18 213
4 6 20 47
4 6 20 569
4 6 22 24
4 6 24 48
4 6 27 46
4 6 31 35
