####################################################################################
####################################################################################
####################################################################################
###                                                                              ###
###                                                                              ###
###  LIBRARY OF TRIANGULATIONS                                                   ###
###  by Bruno Benedetti and Frank H. Lutz                                        ###
###  http://page.math.tu-berlin.de/~lutz/stellar/library_of_triangulations.html  ###
###                                                                              ###
###                                                                              ###
###  name of example:                                                            ###
###                                                                              ###
###    S_5_100_472                                                               ###
###                                                                              ###
###                                                                              ###
###  description:                                                                ###
###                                                                              ###
###    boundary 5-sphere of a stacked 6-polytope with 100 vertices               ###
###                                                                              ###
###                                                                              ###
###  properties:                                                                 ###
###                                                                              ###
###    f=(100,579,1430,1895,1416,472),                                           ###
###    H_*=(Z,0,0,0,0,Z),                                                        ###
###    polytopal,                                                                ###
###    perfect discrete Morse vector: (1,0,0,0,0,1)                              ###
###                                                                              ###
###                                                                              ###
###  references:                                                                 ###
###                                                                              ###
###    Folklore.                                                                 ###
###                                                                              ###
###    B. Benedetti and F. H. Lutz.                                              ###
###    Random discrete Morse theory and a new library of triangulations.         ###
###    Exp. Math. 23, 66-94 (2014).                                              ###
###                                                                              ###
###                                                                              ###
####################################################################################
####################################################################################
####################################################################################

1 2 3 4 5 6
1 2 3 4 5 12
1 2 3 4 6 7
1 2 3 4 7 12
1 2 3 5 6 7
1 2 3 5 7 12
1 2 4 5 6 64
1 2 4 5 7 17
1 2 4 5 7 41
1 2 4 5 12 95
1 2 4 5 17 64
1 2 4 5 19 41
1 2 4 5 19 95
1 2 4 6 7 17
1 2 4 6 17 64
1 2 4 7 12 19
1 2 4 7 19 41
1 2 4 12 19 95
1 2 5 6 7 17
1 2 5 6 17 64
1 2 5 7 12 19
1 2 5 7 19 41
1 2 5 12 19 95
1 3 4 5 6 7
1 3 4 5 7 12
1 4 5 6 7 17
1 4 5 6 17 64
1 4 5 7 12 19
1 4 5 7 19 41
1 4 5 12 19 95
2 3 4 5 6 8
2 3 4 5 7 13
2 3 4 5 7 69
2 3 4 5 8 11
2 3 4 5 11 66
2 3 4 5 12 69
2 3 4 5 13 66
2 3 4 6 7 8
2 3 4 7 8 25
2 3 4 7 11 45
2 3 4 7 11 47
2 3 4 7 12 69
2 3 4 7 13 47
2 3 4 7 25 94
2 3 4 7 45 94
2 3 4 8 11 25
2 3 4 11 13 47
2 3 4 11 13 66
2 3 4 11 25 45
2 3 4 25 45 94
